original_key,edited_key,normalized,pages
Colin Blunstone,Colin Blunstone,"Blunstone, Colin","25, 56, 57, 124"
Could It Be I'm Falling In Love,Could It Be I'm Falling In Love,Could It Be I'm Falling In Love,"190, 395"
Craig Pruess,Craig Pruess,"Pruess, Craig","107, 423"
Daisy Chute,Daisy Chute,"Chute, Daisy","129, 171, 295, 399"
Damon Butcher,Damon Butcher,"Butcher, Damon","68, 72, 153, 162"
Dangerous Game,Dangerous Game,Dangerous Game,"315, 425"
Danny Gottlieb,Danny Gottlieb,"Gottlieb, Danny","29, 59, 62, 65, 101, 130, 131, 132, 135, 138, 157, 170, 172, 230, 297, 300, 302, 313, 363, 395, 400"
Dave Bishop,Dave Bishop,"Bishop, Dave","93, 99, 101, 110, 152, 174, 209, 227, 231, 250, 351, 407"
David Arden,David Arden,"Arden, David","43, 44, 96, 97"
David Barnes,David Barnes,"Barnes, David","32, 33, 34, 41, 42, 73, 74, 76, 89, 94, 173"
David Courtney,David Courtney,"Courtney, David","52, 54, 114"
David Essex,David Essex,"Essex, David","35, 44, 78, 97, 98, 423"
David Gordon,David Gordon,"Gordon, David","35, 37, 78, 82"
David Katz,David Katz,"Katz, David","34, 57, 58, 64, 76, 77, 127, 128, 145"
David Platz,David Platz,"Platz, David","33, 35, 40, 41, 43, 74, 78, 89, 90, 94"
Deniece Williams,Deniece Williams,"Williams, Deniece","121, 171, 274, 400"
Derek Andrews,Derek Andrews,"Andrews, Derek","36, 44, 45, 80, 82, 98, 99, 145, 186, 335"
Derek Bramble,Derek Bramble,"Bramble, Derek","84, 86, 173, 190, 194, 403"
Derek Watkins,Derek Watkins,"Watkins, Derek","151, 158, 350, 366"
Diana Ross,Diana Ross,"Ross, Diana","100, 164, 227, 379"
Dick Morrissey,Dick Morrissey,"Morrissey, Dick","71, 73, 88, 162, 166, 168, 198, 389"
Dick Powell,Dick Powell,"Powell, Dick","4, 5, 9, 12"
Dill Katz,Dill Katz,"Katz, Dill","65, 69, 81, 82, 146, 157, 185, 186"
Doc Severinsen,Doc Severinsen,"Severinsen, Doc","53, 79, 94, 117, 118, 179, 212"
Don Paul,Don Paul,"Paul, Don","34, 43, 75, 95"
Don Peake,Don Peake,"Peake, Don","69, 157, 170, 171, 172, 396, 398, 402"
Doris Day,Doris Day,"Day, Doris","39, 84, 128, 292"
Down Low,Down Low,"Low, Down","387, 388"
Dudley Moore,Dudley Moore,"Moore, Dudley","17, 40, 178, 419"
Duke Ellington,Duke Ellington,"Ellington, Duke","26, 59, 80, 85, 98, 181, 192, 225"
Dusty Springfield,Dusty Springfield,"Springfield, Dusty","8, 20, 35, 37, 77, 80, 81, 115, 122, 183, 261, 278, 423"
Dylan Bell,Dylan Bell,"Bell, Dylan","384, 385"
EMI Music,EMI Music,EMI Music,"77, 111"
Ealing Jazz Festival,Ealing Jazz Festival,Ealing Jazz Festival,"141, 168, 326, 389"
Ed Barker,Ed Barker,"Barker, Ed","162, 168, 172, 376, 389, 400, 427"
Eden Studios,Eden Studios,Eden Studios,"196, 226, 228"
Elaine Gibbs,Elaine Gibbs,"Gibbs, Elaine","392, 393, 427"
Ella Fitzgerald,Ella Fitzgerald,"Fitzgerald, Ella","5, 12, 85, 191"
Elton John,Elton John,"John, Elton","37, 59, 82, 130, 141, 326"
Eric Clapton,Eric Clapton,"Clapton, Eric","17, 18, 19, 40, 43, 102, 115, 232, 262"
Essex Music,Essex Music,Essex Music,"73, 89, 105"
Everton Nelson,Everton Nelson,"Nelson, Everton","169, 174, 391, 407"
Five Star,Five Star,Five Star,"190, 424"
Frank Ricotti,Frank Ricotti,"Ricotti, Frank","76, 133, 173, 306"
Frank Rosolino,Frank Rosolino,"Rosolino, Frank","63, 143, 170, 397"
Frank Sinatra,Frank Sinatra,"Sinatra, Frank","5, 12, 128, 151, 292, 350"
Frank Zappa,Frank Zappa,"Zappa, Frank","25, 42, 57, 80, 93, 176, 181, 413"
Frankie Goes To Hollywood,Frankie Goes To Hollywood,Frankie Goes To Hollywood,"166, 195, 200, 226"
From Dreaming to Gigging,From Dreaming to Gigging,From Dreaming to Gigging,"402, 428"
Garry Travers,Garry Travers,"Travers, Garry","40, 43, 88, 94, 95"
Gary Barnacle,Gary Barnacle,"Barnacle, Gary","86, 90, 193, 204"
